,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
174,15.9577,36.5760,51.8278,-0.0126,0.0688,-0.0815,35.2500,37.0000,35.1300,36.8100,1.1650,3247400,0.0000,1.0000
175,16.5658,36.5570,50.2824,-0.0074,0.0592,-0.0667,36.4400,37.4400,35.8100,36.4400,1.1533,3076600,0.0000,1.0000
176,17.1694,36.6010,53.1754,0.0518,0.0948,-0.0430,36.8100,37.5000,36.2500,37.1300,1.1752,2836100,0.0000,1.0000
177,17.9630,36.6140,55.2710,0.1375,0.1444,-0.0069,37.5000,37.7500,37.2500,37.6300,1.1910,2265800,0.0000,1.0000
178,19.1795,36.7890,56.0576,0.2174,0.1794,0.0380,37.3800,38.2500,37.3100,37.8100,1.1967,3307600,0.0000,1.0000
179,21.0844,36.9450,59.8894,0.3477,0.2478,0.0999,38.5600,39.1300,38.1300,38.6900,1.2246,5606100,0.0000,1.0000
180,23.0169,37.0890,56.7645,0.4060,0.2449,0.1611,38.3800,39.3800,38.0600,38.1900,1.2087,5420700,0.0000,1.0000
181,23.1728,37.3450,55.9215,0.4367,0.2204,0.2162,37.8800,38.2500,37.2500,38.0600,1.2046,7119100,0.0000,1.0000
182,21.0517,37.2640,47.3309,0.3416,0.1003,0.2413,37.6900,38.1300,35.5000,36.6300,1.1594,5899900,0.0000,1.0000
183,19.7638,37.2520,40.1435,0.1436,-0.0782,0.2218,36.1900,36.2500,35.0000,35.1300,1.1119,7892700,0.0000,1.0000
184,20.8134,36.9270,34.1182,-0.1384,-0.2881,0.1498,35.7500,35.8100,32.7500,33.5600,1.0622,8468800,0.0000,1.0000
185,21.7581,36.6830,37.0599,-0.3227,-0.3779,0.0553,33.1300,34.4400,32.8800,34.0000,1.0761,5313400,0.0000,1.0000
186,20.3138,36.5390,47.1340,-0.3285,-0.3070,-0.0215,34.9400,36.0600,34.6900,35.6900,1.1296,7069800,0.0000,1.0000
187,18.3767,36.3760,48.8041,-0.3047,-0.2265,-0.0781,35.9400,36.7500,35.4400,36.0000,1.1394,3433300,0.0000,1.0000
188,17.2398,36.0760,43.0089,-0.3774,-0.2394,-0.1380,35.7500,35.8100,34.7500,34.8100,1.1017,1881500,0.0000,1.0000
189,15.9648,35.7510,46.7298,-0.3799,-0.1935,-0.1864,35.1900,36.0000,34.8800,35.4400,1.1217,2943400,0.0000,1.0000
190,15.3897,35.5070,48.5658,-0.3527,-0.1331,-0.2196,35.5000,37.1900,35.4400,35.7500,1.1315,3094000,0.0000,1.0000
191,13.9559,35.2320,46.0621,-0.3626,-0.1143,-0.2482,36.4400,36.7500,34.7500,35.3100,1.1176,3564500,0.0000,1.0000
192,12.7444,35.1940,51.9429,-0.2911,-0.0343,-0.2568,35.5600,36.8100,35.1900,36.2500,1.1473,5160300,0.0000,1.0000
193,11.6540,35.2750,49.9474,-0.2566,0.0002,-0.2568,36.1300,36.7500,35.7500,35.9400,1.1375,2854900,0.0000,1.0000
194,11.4983,35.4320,44.9356,-0.2912,-0.0276,-0.2636,35.8800,36.0600,34.9400,35.1300,1.1119,2712500,0.0000,1.0000
195,11.6247,35.5380,44.5068,-0.3206,-0.0456,-0.2750,35.0600,35.1300,34.7500,35.0600,1.1097,1367000,0.0000,1.0000
196,14.7232,35.1630,30.2231,-0.5889,-0.2511,-0.3378,34.5600,34.8100,31.7500,31.9400,1.0109,5013300,0.0000,1.0000
